,PUBCHEM_CID,smile_1851,p450-cyp1a2-Potency
0,644510,C1OC2=C(O1)C=C3C(=C2)C=C(C(=O)N3)CN(CCCO)CC4=NN=NN4CC5=CC=C(C=C5)F,7.94328
1,1960010,CCN1C2=CC=CC=C2/C(=C/3\C(=O)N(C(=S)S3)CCCOC)/C1=O,1.58489
2,644675,CC(=O)N(C1=CC2=C(C=C1)OC(=O)S2)S(=O)(=O)C3=CC=CS3,15.8489
3,644851,C1=CC=C(C=C1)C2=NNC(=N2)C3=CC=CC=C3Cl,1
4,644890,CC(C)(C)N1C(=NN=N1)C(C2=CC=CC=C2OC)N3CCN(CC3)CC4=CC=NC=C4,25.1189
5,644968,COC1=CC=CC=C1CNC(=O)CN2N=C(N=N2)C3=CC=NC=C3,12.5893
6,645063,CC1=CC=CC=C1NC(=O)N2CCCC2C(=O)NC3=CC=CC(=C3)NC(=O)C,25.1189
7,645164,CCC(C1=NN=NN1CC2CCCO2)N(CCN3CCOCC3)CC4=CC5=C(C=CC(=C5)C)NC4=O,25.1189
8,6602688,C1COCCN1CCN2C3=CC=CC=C3N(C2=N)CC(=O)C4=CC(=C(C=C4)Cl)Cl.Br,1.25893
9,645323,COC1=CC=C(C=C1)NC2=NC(=NC(=N2)N)CSC3=NNC(=N3)C4=CC=CC=C4,15.8489
10,645448,CCC(C)(C)NC(=O)C1=CC2=C(C=C1)OC(C(=O)N2CC(=O)OC)(C)C,0.158489
11,645569,CCC1=CC2=C(S1)N=CNC2=O,19.9526
12,645573,CCN1C(=NN=C1SCC(=O)N(CC)CC)C2=CC3=CC=CC=C3C=C2O,12.5893
13,645575,CCOC1=CC(=C(C=C1NC(=O)C2=CC=CO2)OCC)NC(=O)C3CCCCC3,1.99526
14,5721248,C1C(OC2=CC=CC=C2O1)/C(=N/O)/N.Cl,14.1254
15,645818,COC1=CC=CC2=C1NC=C(C2=O)C(=O)NCC3=CC=CS3,0.630957
16,645911,CCC1=NN=C(N1N)SCC2=CC=C(C=C2)OC(C)C,15.8489
17,645965,CC1CC2=CC=CC=C2N1C(=O)CN3CCC(CC3)N4C5=C(C=C(C=C5)C)N=N4,6.30957
18,6398898,C1=CC=C(C=C1)COC(=O)CSC2=NC3=C(C4=C(N3)C=CC(=C4)F)N=N2,0.501187
19,646118,CCC1=C(N2C(=NC=N2)N=C1C)NCCC3=CC=C(C=C3)OC,15.8489
