,PUBCHEM_CID,smile_1851,p450-cyp2c19-Potency
0,644510,C1OC2=C(O1)C=C3C(=C2)C=C(C(=O)N3)CN(CCCO)CC4=NN=NN4CC5=CC=C(C=C5)F,12.5893
1,1960010,CCN1C2=CC=CC=C2/C(=C/3\C(=O)N(C(=S)S3)CCCOC)/C1=O,11.2202
2,644675,CC(=O)N(C1=CC2=C(C=C1)OC(=O)S2)S(=O)(=O)C3=CC=CS3,0.316228
3,644851,C1=CC=C(C=C1)C2=NNC(=N2)C3=CC=CC=C3Cl,17.7828
4,644890,CC(C)(C)N1C(=NN=N1)C(C2=CC=CC=C2OC)N3CCN(CC3)CC4=CC=NC=C4,2.23872
5,644968,COC1=CC=CC=C1CNC(=O)CN2N=C(N=N2)C3=CC=NC=C3,8.91251
6,6602688,C1COCCN1CCN2C3=CC=CC=C3N(C2=N)CC(=O)C4=CC(=C(C=C4)Cl)Cl.Br,6.30957
7,645323,COC1=CC=C(C=C1)NC2=NC(=NC(=N2)N)CSC3=NNC(=N3)C4=CC=CC=C4,10
8,645448,CCC(C)(C)NC(=O)C1=CC2=C(C=C1)OC(C(=O)N2CC(=O)OC)(C)C,19.9526
9,645573,CCN1C(=NN=C1SCC(=O)N(CC)CC)C2=CC3=CC=CC=C3C=C2O,15.8489
10,645575,CCOC1=CC(=C(C=C1NC(=O)C2=CC=CO2)OCC)NC(=O)C3CCCCC3,7.94328
11,645578,CC1CCCC(N1C(=O)C2=CC=C(C=C2)S(=O)(=O)N3CCC(CC3)N4C5=C(C=C(C=C5)C)N=N4)C,12.5893
12,5721248,C1C(OC2=CC=CC=C2O1)/C(=N/O)/N.Cl,11.2202
13,645818,COC1=CC=CC2=C1NC=C(C2=O)C(=O)NCC3=CC=CS3,7.94328
14,645911,CCC1=NN=C(N1N)SCC2=CC=C(C=C2)OC(C)C,10
15,645965,CC1CC2=CC=CC=C2N1C(=O)CN3CCC(CC3)N4C5=C(C=C(C=C5)C)N=N4,10
16,6398898,C1=CC=C(C=C1)COC(=O)CSC2=NC3=C(C4=C(N3)C=CC(=C4)F)N=N2,0.398107
17,646118,CCC1=C(N2C(=NC=N2)N=C1C)NCCC3=CC=C(C=C3)OC,3.54813
18,646164,CCOC(=O)CSC1=C(C(C2=C(N1)CCCC2=O)C)C#N,0.707946
19,646293,CC1=CC2=C(C=C1)C=C(C3=NN=C(N23)SCC(=O)NCC4=CC=CO4)C,14.1254
20,646345,C1CN(CCC1C(=O)C2=CC3=C(C=C2)OCCO3)S(=O)(=O)C4=CC=CC=C4F,3.16228
21,646352,CC1=CC=C(C=C1)N2C(=NN=C2SCC(=O)N3CCOCC3)C4=CN=CC=C4,22.3872
22,646353,CCOC(=O)N1CCN(CC1)S(=O)(=O)CC2=CC=CC=C2,2.23872
23,646395,CCSC1=C(C2(CCCCC2)C(=C(N1)N)C#N)C#N,5.01187
24,646427,C1CN(CCN1C2=NC=C(C=C2)C(F)(F)F)C3=CC(=NC4=NC=NN34)C5=CC=CC=C5,3.54813
25,646472,CCOC(=O)C1=CC2=C(N1CC(=O)N3CCN(CC3)C(=O)C4=CC=CO4)C=C(S2)C,25.1189
26,646597,CCC(=O)NC1=CC2=C(C=C1C(=O)C3=CC=CC=C3)OCCO2,14.1254
27,646780,COC1=CC(=CC(=C1OC)OC)C2=NN=C(O2)C3=CC=C(C=C3)N4CCOCC4,25.1189
28,646897,CN(C)C=C1C(=O)N(C(=O)N(C1=O)C2CCCCC2)C3CCCCC3,19.9526
29,647114,CN1C2=CC=CC=C2N=C1SC3=CS(=O)(=O)C4=CC=CC=C43,17.7828
30,647166,CCOC1=CC=C(C=C1)C2=NN=C(O2)C3=CC=NC=C3,0.112202
31,647205,CC(C(=O)NC1CCCC1)N(C2=CC3=C(C=C2)OCCO3)C(=O)C4=C(C(=NS4)C(=O)N)N,15.8489
32,647302,CN1C(=CN=C1NCC2=CC=CC=C2)C3=CC4=C(C=C3)OCO4.C(=O)(C(=O)O)O,12.5893
