,PUBCHEM_CID,smile_1851,p450-cyp2d6-Potency
0,6602638,CCCC(=O)NC1=CC(=C(C=C1)N2CCN(CC2)CC)Cl.Cl,19.9526
1,644510,C1OC2=C(O1)C=C3C(=C2)C=C(C(=O)N3)CN(CCCO)CC4=NN=NN4CC5=CC=C(C=C5)F,12.5893
2,644851,C1=CC=C(C=C1)C2=NNC(=N2)C3=CC=CC=C3Cl,17.7828
3,644890,CC(C)(C)N1C(=NN=N1)C(C2=CC=CC=C2OC)N3CCN(CC3)CC4=CC=NC=C4,2.81838
4,644968,COC1=CC=CC=C1CNC(=O)CN2N=C(N=N2)C3=CC=NC=C3,2.23872
5,6602688,C1COCCN1CCN2C3=CC=CC=C3N(C2=N)CC(=O)C4=CC(=C(C=C4)Cl)Cl.Br,1.99526
6,645323,COC1=CC=C(C=C1)NC2=NC(=NC(=N2)N)CSC3=NNC(=N3)C4=CC=CC=C4,3.54813
7,645578,CC1CCCC(N1C(=O)C2=CC=C(C=C2)S(=O)(=O)N3CCC(CC3)N4C5=C(C=C(C=C5)C)N=N4)C,0.158489
8,645818,COC1=CC=CC2=C1NC=C(C2=O)C(=O)NCC3=CC=CS3,12.5893
9,645929,CC(C)(C)NC(=O)CSC1=NN=C(N1C2CCCCC2)CC3=CC4=C(C=C3)OCO4,2.81838
10,645965,CC1CC2=CC=CC=C2N1C(=O)CN3CCC(CC3)N4C5=C(C=C(C=C5)C)N=N4,25.1189
11,646118,CCC1=C(N2C(=NC=N2)N=C1C)NCCC3=CC=C(C=C3)OC,12.5893
12,646345,C1CN(CCC1C(=O)C2=CC3=C(C=C2)OCCO3)S(=O)(=O)C4=CC=CC=C4F,0.0316228
13,646395,CCSC1=C(C2(CCCCC2)C(=C(N1)N)C#N)C#N,15.8489
14,646427,C1CN(CCN1C2=NC=C(C=C2)C(F)(F)F)C3=CC(=NC4=NC=NN34)C5=CC=CC=C5,11.2202
15,647166,CCOC1=CC=C(C=C1)C2=NN=C(O2)C3=CC=NC=C3,12.5893
16,647205,CC(C(=O)NC1CCCC1)N(C2=CC3=C(C=C2)OCCO3)C(=O)C4=C(C(=NS4)C(=O)N)N,14.1254
17,647262,CC1=CC=C(C=C1)C2=CN=C(N2C)NC(=O)CCC(=O)N3CCCCC3,14.1254
18,647302,CN1C(=CN=C1NCC2=CC=CC=C2)C3=CC4=C(C=C3)OCO4.C(=O)(C(=O)O)O,0.794328
19,647585,CC1=CC(=CC=C1)NC(=O)CSC2=NNC(=N2)C3=CC=NC=C3,8.91251
20,647727,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)CN4CCOCC4,5.01187
21,6602522,C1CCC(=CC1)CCNC(=O)CN2CCN(CC2)C3=NC=CC=N3.Cl,2.81838
22,648007,CCOC(=O)C1=C(SC(=C1C)C)NC(=O)CSC2=NN=NN2C,25.1189
23,6602523,CCC1=CC2=C(N=CN=C2S1)NCC3=CC=CO3.Cl,17.7828
24,648672,C1=CC(=CC=C1C2=C(C(=NN2)N)Cl)Br,11.2202
25,648771,CCCCN1C(=NN=C1SCC(=O)NC(C)(C)C)C2=CC=CO2,12.5893
26,649015,C1C(C2=CC3=C(C=C2NC1=O)OCO3)C4=CC=CS4,8.91251
27,2859713,COC(=O)CN1C2=CC=CC=C2N(C1=N)CCN3CCCCC3.Br,44.6684
28,649754,C1CC(OC1)CN2C(=CN=C2N)C3=CC=CC=C3,3.54813
29,649949,C1CCCN(CC1)C2=CC=CC=C2NC(=O)CSC3=NC4=CC=CC=C4O3,15.8489
30,6398918,CCOC(=O)CC(=O)CSC1=NC2=C(C3=CC=CC=C3N2)N=N1,3.54813
31,135439099,C1CN(CCC1C2=NC3=C(C(=O)N2)N=NN3CC4=CC=CC=C4Cl)C(=O)CC5=CC=CS5,14.1254
32,6602529,COC1=CC=CC(=C1)C(=O)NC2CC3CCCC(C2)N3CC(=O)NC4=CC=CC=C4.Cl,11.2202
33,6602999,CCOC(=O)C1CC2=C(CN1)NC3=CC=CC=C23.Cl,12.5893
34,2740817,CC1=CC=C(C=C1)C(=O)C2CCNCC2.Cl,1.41254
35,650985,CC1=C(N2C(=NC=N2)N=C1C)NCCC3=CC=C(C=C3)OC,3.16228
36,651025,CCCN1CC=C2C(C1)C(C(C(=C2C#N)N)(C#N)C#N)C3=C(C=CC(=C3)OC)OC,15.8489
37,651086,CC1=CC(=NN1C2=NC(=CC(=N2)C(F)F)C3=CC=C(C=C3)OC)C,22.3872
38,651189,COC1=C(C=C(C=C1)Cl)NC(=O)CN2C(=O)CSC2=O,5.62341
39,135450659,CC1=CC=C(C=C1)CN2C3=C(C(=O)NC(=N3)C4CCN(CC4)C(=O)CC5=CC=CS5)N=N2,17.7828
40,651587,C1CCN(CC1)CCCOC(=O)C2=CC=C(C=C2)O,5.62341
41,651603,C1=CC=C2C(=C1)C=C(C=N2)NC(=O)C3=CC(=CC=C3)N4C=NN=N4,7.94328
42,135450662,C1CCC2=C(C1)C3=C(S2)NC(=O)CN=C3C4=CC=CS4,1
43,651959,C1CCC(C1)N2C(=NN=N2)C(C3=CC=C(C=C3)Cl)N4CCN(CC4)CC5=CC=NC=C5,1.25893
44,652521,CN(C)S(=O)(=O)C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)CN3CCCC3,2.51189
45,6603138,C1CCC(CC1)N2CCN(CC2)CC(=O)NCCC3=CCCCC3.Cl,15.8489
46,653412,CN1C(=NN=C1SCC(=O)NCC2=CC3=C(C=C2)OCO3)C4=CC5=CC=CC=C5C=C4O,10
47,135417689,CC1=CC(=CC=C1)NC(=O)N(CC2=NC3=CC=CC=C3C(=O)N2)C4CCCC4,39.8107
48,653695,C1CC2=CC=CC=C2N(C1)C(=O)CSC3=NNC(=N3)C4=CC=CC=C4O,25.1189
49,627902,CN(C)C1=CC=C(C=C1)N=CC2=C(OC(=N2)C3=CC=CC=C3)O,7.07946
50,653914,CC(C)CCNC(=O)CN(CC1=CC=CS1)C(=O)CN2N=C(N=N2)C3=CC(=C(C=C3)OC)OC,11.2202
51,654363,C1CCC(CC1)NC(=O)C(C2=CC=CS2)N(CC3=CC=CS3)C(=O)C4=CC=CO4,17.7828
52,655401,CCN(C1CCCCC1)S(=O)(=O)C2=CC=C(C=C2)S(=O)(=O)NCC3=CC=NC=C3,7.94328
53,655575,CC(C)CCN1C(=NN=N1)C(C2=CC=C(C=C2)F)N3CCN(CC3)C(=O)C4=CC=CO4,14.1254
54,586663,C1=CC(=CC=C1CCNC(=O)C2=NC=NN2)Cl,19.9526
55,655776,C=CCN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3,0.398107
56,655866,CC(C)CN1C2CCCC1CC(C2)NC(=O)C3=CC(=C(C=C3)OC)OC,4.46684
57,655926,CC1=CC(=C(C=C1)C)NC(=O)C(CC2=C(C(=CC=C2)OC)OC)C3=NNN=N3,15.8489
